sentid	contextid	pairid	comparison	lemma	condition	sentence	ROI
58	1	29	expected	adjust	simple	The pilot adjusts	2
59	1	30	unexpected	administer	simple	The pilot administer	2
60	1	30	expected	administer	simple	The pilot administers	2
61	1	31	unexpected	admit	simple	The pilot admit	2
62	1	31	expected	admit	simple	The pilot admits	2
63	1	32	unexpected	adopt	simple	The pilot adopt	2
64	1	32	expected	adopt	simple	The pilot adopts	2
65	1	33	unexpected	adorn	simple	The pilot adorn	2
66	1	33	expected	adorn	simple	The pilot adorns	2
67	1	34	unexpected	advance	simple	The pilot advance	2
68	1	34	expected	advance	simple	The pilot advances	2
69	1	35	unexpected	advantage	simple	The pilot advantage	2
70	1	35	expected	advantage	simple	The pilot advantages	2
71	1	36	unexpected	advise	simple	The pilot advise	2
72	1	36	expected	advise	simple	The pilot advises	2
73	1	37	unexpected	affect	simple	The pilot affect	2
74	1	37	expected	affect	simple	The pilot affects	2
75	1	38	unexpected	afford	simple	The pilot afford	2
76	1	38	expected	afford	simple	The pilot affords	2
77	1	39	unexpected	aggravate	simple	The pilot aggravate	2
78	1	39	expected	aggravate	simple	The pilot aggravates	2
79	1	40	unexpected	agonize	simple	The pilot agonize	2
80	1	40	expected	agonize	simple	The pilot agonizes	2
81	1	41	unexpected	agree	simple	The pilot agree	2
82	1	41	expected	agree	simple	The pilot agrees	2
83	1	42	unexpected	aid	simple	The pilot aid	2
84	1	42	expected	aid	simple	The pilot aids	2
85	1	43	unexpected	aim	simple	The pilot aim	2
86	1	43	expected	aim	simple	The pilot aims	2
87	1	44	unexpected	air	simple	The pilot air	2
88	1	44	expected	air	simple	The pilot airs	2
89	1	45	unexpected	alert	simple	The pilot alert	2
90	1	45	expected	alert	simple	The pilot alerts	2
91	1	46	unexpected	alienate	simple	The pilot alienate	2
92	1	46	expected	alienate	simple	The pilot alienates	2
93	1	47	unexpected	allay	simple	The pilot allay	2
94	1	47	expected	allay	simple	The pilot allays	2
95	1	48	unexpected	allege	simple	The pilot allege	2
96	1	48	expected	allege	simple	The pilot alleges	2
97	1	49	unexpected	alleviate	simple	The pilot alleviate	2
98	1	49	expected	alleviate	simple	The pilot alleviates	2
99	1	50	unexpected	allocate	simple	The pilot allocate	2
100	1	50	expected	allocate	simple	The pilot allocates	2
101	1	51	unexpected	allowed	simple	The pilot allowed	2
102	1	51	expected	allowed	simple	The pilot alloweds	2
103	1	52	unexpected	allow	simple	The pilot allow	2
104	1	52	expected	allow	simple	The pilot allows	2
105	1	53	unexpected	ally	simple	The pilot ally	2
106	1	53	expected	ally	simple	The pilot allies	2
107	1	54	unexpected	alter	simple	The pilot alter	2
108	1	54	expected	alter	simple	The pilot alters	2
109	1	55	unexpected	amalgamate	simple	The pilot amalgamate	2
110	1	55	expected	amalgamate	simple	The pilot amalgamates	2
111	1	56	unexpected	amass	simple	The pilot amass	2
112	1	56	expected	amass	simple	The pilot amasses	2
113	1	57	unexpected	amaze	simple	The pilot amaze	2
114	1	57	expected	amaze	simple	The pilot amazes	2
115	1	58	unexpected	amble	simple	The pilot amble	2
116	1	58	expected	amble	simple	The pilot ambles	2
117	1	59	unexpected	amend	simple	The pilot amend	2
118	1	59	expected	amend	simple	The pilot amends	2
119	1	60	unexpected	amortize	simple	The pilot amortize	2
120	1	60	expected	amortize	simple	The pilot amortizes	2
121	1	61	unexpected	amount	simple	The pilot amount	2
122	1	61	expected	amount	simple	The pilot amounts	2
123	1	62	unexpected	amplify	simple	The pilot amplify	2
124	1	62	expected	amplify	simple	The pilot amplifies	2
125	1	63	unexpected	analyze	simple	The pilot analyze	2
126	1	63	expected	analyze	simple	The pilot analyzes	2
127	1	64	unexpected	anchor	simple	The pilot anchor	2
128	1	64	expected	anchor	simple	The pilot anchors	2
129	1	65	unexpected	announce	simple	The pilot announce	2
130	1	65	expected	announce	simple	The pilot announces	2
131	1	66	unexpected	answer	simple	The pilot answer	2
132	1	66	expected	answer	simple	The pilot answers	2
133	1	67	unexpected	antagonize	simple	The pilot antagonize	2
134	1	67	expected	antagonize	simple	The pilot antagonizes	2
135	1	68	unexpected	anticipate	simple	The pilot anticipate	2
136	1	68	expected	anticipate	simple	The pilot anticipates	2
137	1	69	unexpected	apologize	simple	The pilot apologize	2
138	1	69	expected	apologize	simple	The pilot apologizes	2
139	1	70	unexpected	appeal	simple	The pilot appeal	2
140	1	70	expected	appeal	simple	The pilot appeals	2
141	1	71	unexpected	appear	simple	The pilot appear	2
142	1	71	expected	appear	simple	The pilot appears	2
143	1	72	unexpected	appease	simple	The pilot appease	2
144	1	72	expected	appease	simple	The pilot appeases	2
145	1	73	unexpected	append	simple	The pilot append	2
146	1	73	expected	append	simple	The pilot appends	2
147	1	74	unexpected	applaud	simple	The pilot applaud	2
148	1	74	expected	applaud	simple	The pilot applauds	2
149	1	75	unexpected	apply	simple	The pilot apply	2
150	1	75	expected	apply	simple	The pilot applies	2
151	1	76	unexpected	appoint	simple	The pilot appoint	2
152	1	76	expected	appoint	simple	The pilot appoints	2
153	1	77	unexpected	appraise	simple	The pilot appraise	2
154	1	77	expected	appraise	simple	The pilot appraises	2
155	1	78	unexpected	appreciate	simple	The pilot appreciate	2
156	1	78	expected	appreciate	simple	The pilot appreciates	2
157	1	79	unexpected	approach	simple	The pilot approach	2
158	1	79	expected	approach	simple	The pilot approaches	2
159	1	80	unexpected	approve	simple	The pilot approve	2
160	1	80	expected	approve	simple	The pilot approves	2
161	1	81	unexpected	argue	simple	The pilot argue	2
162	1	81	expected	argue	simple	The pilot argues	2
163	1	82	unexpected	arise	simple	The pilot arise	2
164	1	82	expected	arise	simple	The pilot arises	2
165	1	83	unexpected	arm	simple	The pilot arm	2
166	1	83	expected	arm	simple	The pilot arms	2
167	1	84	unexpected	arouse	simple	The pilot arouse	2
168	1	84	expected	arouse	simple	The pilot arouses	2
169	1	85	unexpected	arrange	simple	The pilot arrange	2
170	1	85	expected	arrange	simple	The pilot arranges	2
171	1	86	unexpected	arrest	simple	The pilot arrest	2
172	1	86	expected	arrest	simple	The pilot arrests	2
173	1	87	unexpected	arrive	simple	The pilot arrive	2
174	1	87	expected	arrive	simple	The pilot arrives	2
175	1	88	unexpected	articulate	simple	The pilot articulate	2
176	1	88	expected	articulate	simple	The pilot articulates	2
177	1	89	unexpected	ask	simple	The pilot ask	2
178	1	89	expected	ask	simple	The pilot asks	2
179	1	90	unexpected	assassinate	simple	The pilot assassinate	2
180	1	90	expected	assassinate	simple	The pilot assassinates	2
181	1	91	unexpected	assemble	simple	The pilot assemble	2
182	1	91	expected	assemble	simple	The pilot assembles	2
183	1	92	unexpected	assert	simple	The pilot assert	2
184	1	92	expected	assert	simple	The pilot asserts	2
185	1	93	unexpected	assess	simple	The pilot assess	2
186	1	93	expected	assess	simple	The pilot assesses	2
187	1	94	unexpected	assign	simple	The pilot assign	2
188	1	94	expected	assign	simple	The pilot assigns	2
189	1	95	unexpected	assimilate	simple	The pilot assimilate	2
190	1	95	expected	assimilate	simple	The pilot assimilates	2
191	1	96	unexpected	assist	simple	The pilot assist	2
192	1	96	expected	assist	simple	The pilot assists	2
193	1	97	unexpected	assuage	simple	The pilot assuage	2
194	1	97	expected	assuage	simple	The pilot assuages	2
195	1	98	unexpected	assume	simple	The pilot assume	2
196	1	98	expected	assume	simple	The pilot assumes	2
197	2	99	unexpected	assure	simple	The senators assures	2
198	2	99	expected	assure	simple	The senators assure	2
199	2	100	unexpected	atone	simple	The senators atones	2
200	2	100	expected	atone	simple	The senators atone	2
201	2	101	unexpected	attach	simple	The senators attaches	2
202	2	101	expected	attach	simple	The senators attach	2
203	2	102	unexpected	attack	simple	The senators attacks	2
204	2	102	expected	attack	simple	The senators attack	2
205	2	103	unexpected	attain	simple	The senators attains	2
206	2	103	expected	attain	simple	The senators attain	2
207	2	104	unexpected	attempt	simple	The senators attempts	2
208	2	104	expected	attempt	simple	The senators attempt	2
209	2	105	unexpected	attend	simple	The senators attends	2
210	2	105	expected	attend	simple	The senators attend	2
211	2	106	unexpected	attention	simple	The senators attentions	2
212	2	106	expected	attention	simple	The senators attention	2
213	2	107	unexpected	attest	simple	The senators attests	2
214	2	107	expected	attest	simple	The senators attest	2
215	2	108	unexpected	attract	simple	The senators attracts	2
216	2	108	expected	attract	simple	The senators attract	2
217	2	109	unexpected	attribute	simple	The senators attributes	2
218	2	109	expected	attribute	simple	The senators attribute	2
219	2	110	unexpected	auction	simple	The senators auctions	2
220	2	110	expected	auction	simple	The senators auction	2
221	2	111	unexpected	audition	simple	The senators auditions	2
222	2	111	expected	audition	simple	The senators audition	2
223	2	112	unexpected	audit	simple	The senators audits	2
224	2	112	expected	audit	simple	The senators audit	2
225	2	113	unexpected	augment	simple	The senators augments	2
226	2	113	expected	augment	simple	The senators augment	2
227	2	114	unexpected	authorize	simple	The senators authorizes	2
228	2	114	expected	authorize	simple	The senators authorize	2
229	2	115	unexpected	autograph	simple	The senators autographs	2
230	2	115	expected	autograph	simple	The senators autograph	2
231	2	116	unexpected	average	simple	The senators averages	2
232	2	116	expected	average	simple	The senators average	2
233	2	117	unexpected	avert	simple	The senators averts	2
234	2	117	expected	avert	simple	The senators avert	2
235	2	118	unexpected	avoid	simple	The senators avoids	2
236	2	118	expected	avoid	simple	The senators avoid	2
237	2	119	unexpected	await	simple	The senators awaits	2
238	2	119	expected	await	simple	The senators await	2
239	2	120	unexpected	backfire	simple	The senators backfires	2
240	2	120	expected	backfire	simple	The senators backfire	2
241	2	121	unexpected	back	simple	The senators backs	2
242	2	121	expected	back	simple	The senators back	2
243	2	122	unexpected	bail	simple	The senators bails	2
244	2	122	expected	bail	simple	The senators bail	2
245	2	123	unexpected	balance	simple	The senators balances	2
246	2	123	expected	balance	simple	The senators balance	2
247	2	124	unexpected	balk	simple	The senators balks	2
248	2	124	expected	balk	simple	The senators balk	2
249	2	125	unexpected	balloon	simple	The senators balloons	2
250	2	125	expected	balloon	simple	The senators balloon	2
251	2	126	unexpected	band	simple	The senators bands	2
252	2	126	expected	band	simple	The senators band	2
253	2	127	unexpected	banish	simple	The senators banishes	2
254	2	127	expected	banish	simple	The senators banish	2
255	2	128	unexpected	bankroll	simple	The senators bankrolls	2
256	2	128	expected	bankroll	simple	The senators bankroll	2
257	2	129	unexpected	bankrupt	simple	The senators bankrupts	2
258	2	129	expected	bankrupt	simple	The senators bankrupt	2
259	2	130	unexpected	bank	simple	The senators banks	2
260	2	130	expected	bank	simple	The senators bank	2
261	2	131	unexpected	ban	simple	The senators bans	2
262	2	131	expected	ban	simple	The senators ban	2
263	2	132	unexpected	bargain	simple	The senators bargains	2
264	2	132	expected	bargain	simple	The senators bargain	2
265	2	133	unexpected	bar	simple	The senators bars	2
266	2	133	expected	bar	simple	The senators bar	2
267	2	134	unexpected	base	simple	The senators bases	2
268	2	134	expected	base	simple	The senators base	2
269	2	135	unexpected	bash	simple	The senators bashes	2
270	2	135	expected	bash	simple	The senators bash	2
271	2	136	unexpected	batter	simple	The senators batters	2
272	2	136	expected	batter	simple	The senators batter	2
273	2	137	unexpected	battle	simple	The senators battles	2
274	2	137	expected	battle	simple	The senators battle	2
275	2	138	unexpected	bear	simple	The senators bears	2
276	2	138	expected	bear	simple	The senators bear	2
277	2	139	unexpected	beat	simple	The senators beats	2
278	2	139	expected	beat	simple	The senators beat	2
279	2	140	unexpected	become	simple	The senators becomes	2
280	2	140	expected	become	simple	The senators become	2
281	2	141	unexpected	bedevil	simple	The senators bedevils	2
282	2	141	expected	bedevil	simple	The senators bedevil	2
283	2	142	unexpected	beef	simple	The senators beefs	2
284	2	142	expected	beef	simple	The senators beef	2
285	2	143	unexpected	begin	simple	The senators begins	2
286	2	143	expected	begin	simple	The senators begin	2
287	2	144	unexpected	behave	simple	The senators behaves	2
288	2	144	expected	behave	simple	The senators behave	2
289	2	145	unexpected	belie	simple	The senators belies	2
290	2	145	expected	belie	simple	The senators belie	2
291	2	146	unexpected	believe	simple	The senators believes	2
292	2	146	expected	believe	simple	The senators believe	2
293	2	147	unexpected	bellow	simple	The senators bellows	2
294	2	147	expected	bellow	simple	The senators bellow	2
295	2	148	unexpected	belong	simple	The senators belongs	2
296	2	148	expected	belong	simple	The senators belong	2
297	2	149	unexpected	bend	simple	The senators bends	2
298	2	149	expected	bend	simple	The senators bend	2
299	2	150	unexpected	benefit	simple	The senators benefits	2
300	2	150	expected	benefit	simple	The senators benefit	2
301	2	151	unexpected	bet	simple	The senators bets	2
302	2	151	expected	bet	simple	The senators bet	2
303	2	152	unexpected	are	simple	The senators is	2
304	2	152	expected	are	simple	The senators are	2
305	2	153	unexpected	bid	simple	The senators bids	2
306	2	153	expected	bid	simple	The senators bid	2
307	2	154	unexpected	bill	simple	The senators bills	2
308	2	154	expected	bill	simple	The senators bill	2
309	2	155	unexpected	bite	simple	The senators bites	2
310	2	155	expected	bite	simple	The senators bite	2
311	2	156	unexpected	blackmail	simple	The senators blackmails	2
312	2	156	expected	blackmail	simple	The senators blackmail	2
313	2	157	unexpected	blame	simple	The senators blames	2
314	2	157	expected	blame	simple	The senators blame	2
315	2	158	unexpected	blast	simple	The senators blasts	2
316	2	158	expected	blast	simple	The senators blast	2
317	2	159	unexpected	bleed	simple	The senators bleeds	2
318	2	159	expected	bleed	simple	The senators bleed	2
319	2	160	unexpected	blend	simple	The senators blends	2
320	2	160	expected	blend	simple	The senators blend	2
321	2	161	unexpected	bless	simple	The senators blesses	2
322	2	161	expected	bless	simple	The senators bless	2
323	2	162	unexpected	blink	simple	The senators blinks	2
324	2	162	expected	blink	simple	The senators blink	2
325	2	163	unexpected	block	simple	The senators blocks	2
326	2	163	expected	block	simple	The senators block	2
327	2	164	unexpected	blow	simple	The senators blows	2
328	2	164	expected	blow	simple	The senators blow	2
329	2	165	unexpected	blunder	simple	The senators blunders	2
330	2	165	expected	blunder	simple	The senators blunder	2
331	2	166	unexpected	blunt	simple	The senators blunts	2
332	2	166	expected	blunt	simple	The senators blunt	2
333	2	167	unexpected	blur	simple	The senators blurs	2
334	2	167	expected	blur	simple	The senators blur	2
335	2	168	unexpected	board	simple	The senators boards	2
336	2	168	expected	board	simple	The senators board	2
337	2	169	unexpected	boast	simple	The senators boasts	2
338	2	169	expected	boast	simple	The senators boast	2
339	2	170	unexpected	bode	simple	The senators bodes	2
340	2	170	expected	bode	simple	The senators bode	2
341	2	171	unexpected	bog	simple	The senators bogs	2
342	2	171	expected	bog	simple	The senators bog	2
343	2	172	unexpected	bolster	simple	The senators bolsters	2
344	2	172	expected	bolster	simple	The senators bolster	2
345	2	173	unexpected	bomb	simple	The senators bombs	2
346	2	173	expected	bomb	simple	The senators bomb	2
347	2	174	unexpected	boom	simple	The senators booms	2
348	2	174	expected	boom	simple	The senators boom	2
349	2	175	unexpected	boost	simple	The senators boosts	2
350	2	175	expected	boost	simple	The senators boost	2
351	2	176	unexpected	borrow	simple	The senators borrows	2
352	2	176	expected	borrow	simple	The senators borrow	2
353	2	177	unexpected	bother	simple	The senators bothers	2
354	2	177	expected	bother	simple	The senators bother	2
355	2	178	unexpected	bottle	simple	The senators bottles	2
356	2	178	expected	bottle	simple	The senators bottle	2
357	2	179	unexpected	bounce	simple	The senators bounces	2
358	2	179	expected	bounce	simple	The senators bounce	2
359	2	180	unexpected	bow	simple	The senators bows	2
360	2	180	expected	bow	simple	The senators bow	2
361	2	181	unexpected	brace	simple	The senators braces	2
362	2	181	expected	brace	simple	The senators brace	2
363	2	182	unexpected	brag	simple	The senators brags	2
364	2	182	expected	brag	simple	The senators brag	2
365	2	183	unexpected	branch	simple	The senators branches	2
366	2	183	expected	branch	simple	The senators branch	2
367	2	184	unexpected	brave	simple	The senators braves	2
368	2	184	expected	brave	simple	The senators brave	2
369	2	185	unexpected	brazen	simple	The senators brazens	2
370	2	185	expected	brazen	simple	The senators brazen	2
371	2	186	unexpected	breach	simple	The senators breaches	2
372	2	186	expected	breach	simple	The senators breach	2
373	2	187	unexpected	break	simple	The senators breaks	2
374	2	187	expected	break	simple	The senators break	2
375	2	188	unexpected	breed	simple	The senators breeds	2
376	2	188	expected	breed	simple	The senators breed	2
377	2	189	unexpected	brew	simple	The senators brews	2
378	2	189	expected	brew	simple	The senators brew	2
379	2	190	unexpected	bribe	simple	The senators bribes	2
380	2	190	expected	bribe	simple	The senators bribe	2
381	2	191	unexpected	bridge	simple	The senators bridges	2
382	2	191	expected	bridge	simple	The senators bridge	2
383	2	192	unexpected	brief	simple	The senators briefs	2
384	2	192	expected	brief	simple	The senators brief	2
385	2	193	unexpected	bring	simple	The senators brings	2
386	2	193	expected	bring	simple	The senators bring	2
387	2	194	unexpected	broadcast	simple	The senators broadcasts	2
388	2	194	expected	broadcast	simple	The senators broadcast	2
389	2	195	unexpected	broaden	simple	The senators broadens	2
390	2	195	expected	broaden	simple	The senators broaden	2
391	2	196	unexpected	browbeat	simple	The senators browbeats	2
392	2	196	expected	browbeat	simple	The senators browbeat	2
393	3	197	unexpected	brush	simple	The surgeon brush	2
394	3	197	expected	brush	simple	The surgeon brushes	2
395	3	198	unexpected	buckle	simple	The surgeon buckle	2
396	3	198	expected	buckle	simple	The surgeon buckles	2
397	3	199	unexpected	buck	simple	The surgeon buck	2
398	3	199	expected	buck	simple	The surgeon bucks	2
399	3	200	unexpected	budge	simple	The surgeon budge	2
400	3	200	expected	budge	simple	The surgeon budges	2
401	3	201	unexpected	buffer	simple	The surgeon buffer	2
402	3	201	expected	buffer	simple	The surgeon buffers	2
403	3	202	unexpected	buffet	simple	The surgeon buffet	2
404	3	202	expected	buffet	simple	The surgeon buffets	2
405	3	203	unexpected	build	simple	The surgeon build	2
406	3	203	expected	build	simple	The surgeon builds	2
407	3	204	unexpected	bumble	simple	The surgeon bumble	2
408	3	204	expected	bumble	simple	The surgeon bumbles	2
409	3	205	unexpected	bump	simple	The surgeon bump	2
410	3	205	expected	bump	simple	The surgeon bumps	2
411	3	206	unexpected	buoy	simple	The surgeon buoy	2
412	3	206	expected	buoy	simple	The surgeon buoys	2
413	3	207	unexpected	burn	simple	The surgeon burn	2
414	3	207	expected	burn	simple	The surgeon burns	2
415	3	208	unexpected	bury	simple	The surgeon bury	2
416	3	208	expected	bury	simple	The surgeon buries	2
417	3	209	unexpected	buttress	simple	The surgeon buttress	2
418	3	209	expected	buttress	simple	The surgeon buttresses	2
419	3	210	unexpected	butt	simple	The surgeon butt	2
420	3	210	expected	butt	simple	The surgeon butts	2
421	3	211	unexpected	buy-back	simple	The surgeon buy-back	2
422	3	211	expected	buy-back	simple	The surgeon buy-backs	2
423	3	212	unexpected	buy	simple	The surgeon buy	2
424	3	212	expected	buy	simple	The surgeon buys	2
425	3	213	unexpected	buzz	simple	The surgeon buzz	2
426	3	213	expected	buzz	simple	The surgeon buzzes	2
427	3	214	unexpected	bypass	simple	The surgeon bypass	2
428	3	214	expected	bypass	simple	The surgeon bypasses	2
429	3	215	unexpected	calculate	simple	The surgeon calculate	2
430	3	215	expected	calculate	simple	The surgeon calculates	2
431	3	216	unexpected	call	simple	The surgeon call	2
432	3	216	expected	call	simple	The surgeon calls	2
433	3	217	unexpected	calm	simple	The surgeon calm	2
434	3	217	expected	calm	simple	The surgeon calms	2
435	3	218	unexpected	cancel	simple	The surgeon cancel	2
436	3	218	expected	cancel	simple	The surgeon cancels	2
437	3	219	unexpected	capitalize	simple	The surgeon capitalize	2
438	3	219	expected	capitalize	simple	The surgeon capitalizes	2
439	3	220	unexpected	capture	simple	The surgeon capture	2
440	3	220	expected	capture	simple	The surgeon captures	2
441	3	221	unexpected	cap	simple	The surgeon cap	2
442	3	221	expected	cap	simple	The surgeon caps	2
443	3	222	unexpected	careen	simple	The surgeon careen	2
444	3	222	expected	careen	simple	The surgeon careens	2
445	3	223	unexpected	care	simple	The surgeon care	2
446	3	223	expected	care	simple	The surgeon cares	2
447	3	224	unexpected	caricature	simple	The surgeon caricature	2
448	3	224	expected	caricature	simple	The surgeon caricatures	2
449	3	225	unexpected	carry	simple	The surgeon carry	2
450	3	225	expected	carry	simple	The surgeon carries	2
451	3	226	unexpected	cash	simple	The surgeon cash	2
452	3	226	expected	cash	simple	The surgeon cashes	2
453	3	227	unexpected	cast	simple	The surgeon cast	2
454	3	227	expected	cast	simple	The surgeon casts	2
455	3	228	unexpected	catapult	simple	The surgeon catapult	2
456	3	228	expected	catapult	simple	The surgeon catapults	2
457	3	229	unexpected	catch	simple	The surgeon catch	2
458	3	229	expected	catch	simple	The surgeon catches	2
459	3	230	unexpected	cater	simple	The surgeon cater	2
460	3	230	expected	cater	simple	The surgeon caters	2
461	3	231	unexpected	cause	simple	The surgeon cause	2
462	3	231	expected	cause	simple	The surgeon causes	2
463	3	232	unexpected	caution	simple	The surgeon caution	2
464	3	232	expected	caution	simple	The surgeon cautions	2
465	3	233	unexpected	cease	simple	The surgeon cease	2
466	3	233	expected	cease	simple	The surgeon ceases	2
467	3	234	unexpected	cede	simple	The surgeon cede	2
468	3	234	expected	cede	simple	The surgeon cedes	2
469	3	235	unexpected	celebrate	simple	The surgeon celebrate	2
470	3	235	expected	celebrate	simple	The surgeon celebrates	2
471	3	236	unexpected	cement	simple	The surgeon cement	2
472	3	236	expected	cement	simple	The surgeon cements	2
473	3	237	unexpected	centralize	simple	The surgeon centralize	2
474	3	237	expected	centralize	simple	The surgeon centralizes	2
475	3	238	unexpected	certify	simple	The surgeon certify	2
476	3	238	expected	certify	simple	The surgeon certifies	2
477	3	239	unexpected	challenge	simple	The surgeon challenge	2
478	3	239	expected	challenge	simple	The surgeon challenges	2
479	3	240	unexpected	change	simple	The surgeon change	2
480	3	240	expected	change	simple	The surgeon changes	2
481	3	241	unexpected	channel	simple	The surgeon channel	2
482	3	241	expected	channel	simple	The surgeon channels	2
483	3	242	unexpected	characterize	simple	The surgeon characterize	2
484	3	242	expected	characterize	simple	The surgeon characterizes	2
485	3	243	unexpected	charge	simple	The surgeon charge	2
486	3	243	expected	charge	simple	The surgeon charges	2
487	3	244	unexpected	chart	simple	The surgeon chart	2
488	3	244	expected	chart	simple	The surgeon charts	2
489	3	245	unexpected	chase	simple	The surgeon chase	2
490	3	245	expected	chase	simple	The surgeon chases	2
491	3	246	unexpected	chat	simple	The surgeon chat	2
492	3	246	expected	chat	simple	The surgeon chats	2
493	3	247	unexpected	chauffeur	simple	The surgeon chauffeur	2
494	3	247	expected	chauffeur	simple	The surgeon chauffeurs	2
495	3	248	unexpected	cheat	simple	The surgeon cheat	2
496	3	248	expected	cheat	simple	The surgeon cheats	2
497	3	249	unexpected	check	simple	The surgeon check	2
498	3	249	expected	check	simple	The surgeon checks	2
499	3	250	unexpected	cheer	simple	The surgeon cheer	2
500	3	250	expected	cheer	simple	The surgeon cheers	2
501	3	251	unexpected	chew	simple	The surgeon chew	2
502	3	251	expected	chew	simple	The surgeon chews	2
503	3	252	unexpected	chill	simple	The surgeon chill	2
504	3	252	expected	chill	simple	The surgeon chills	2
505	3	253	unexpected	chisel	simple	The surgeon chisel	2
506	3	253	expected	chisel	simple	The surgeon chisels	2
507	3	254	unexpected	choke	simple	The surgeon choke	2
508	3	254	expected	choke	simple	The surgeon chokes	2
509	3	255	unexpected	choose	simple	The surgeon choose	2
510	3	255	expected	choose	simple	The surgeon chooses	2
511	3	256	unexpected	chop	simple	The surgeon chop	2
512	3	256	expected	chop	simple	The surgeon chops	2
513	3	257	unexpected	churn	simple	The surgeon churn	2
514	3	257	expected	churn	simple	The surgeon churns	2
515	3	258	unexpected	cinch	simple	The surgeon cinch	2
516	3	258	expected	cinch	simple	The surgeon cinches	2
517	3	259	unexpected	circulate	simple	The surgeon circulate	2
518	3	259	expected	circulate	simple	The surgeon circulates	2
519	3	260	unexpected	circumvent	simple	The surgeon circumvent	2
520	3	260	expected	circumvent	simple	The surgeon circumvents	2
521	3	261	unexpected	cite	simple	The surgeon cite	2
522	3	261	expected	cite	simple	The surgeon cites	2
523	3	262	unexpected	claim	simple	The surgeon claim	2
524	3	262	expected	claim	simple	The surgeon claims	2
525	3	263	unexpected	clamp	simple	The surgeon clamp	2
526	3	263	expected	clamp	simple	The surgeon clamps	2
527	3	264	unexpected	clarify	simple	The surgeon clarify	2
528	3	264	expected	clarify	simple	The surgeon clarifies	2
529	3	265	unexpected	clash	simple	The surgeon clash	2
530	3	265	expected	clash	simple	The surgeon clashes	2
531	3	266	unexpected	classify	simple	The surgeon classify	2
532	3	266	expected	classify	simple	The surgeon classifies	2
533	3	267	unexpected	cleanse	simple	The surgeon cleanse	2
534	3	267	expected	cleanse	simple	The surgeon cleanses	2
535	3	268	unexpected	clean	simple	The surgeon clean	2
536	3	268	expected	clean	simple	The surgeon cleans	2
