sentid	contextid	pairid	comparison	lemma	condition	sentence	ROI
90	1	45	expected	alert	vp_coord	The surgeons polish and alert	4
91	1	46	unexpected	alienate	vp_coord	The surgeons polish and alienates	4
92	1	46	expected	alienate	vp_coord	The surgeons polish and alienate	4
93	1	47	unexpected	allay	vp_coord	The surgeons polish and allays	4
94	1	47	expected	allay	vp_coord	The surgeons polish and allay	4
95	1	48	unexpected	allege	vp_coord	The surgeons polish and alleges	4
96	1	48	expected	allege	vp_coord	The surgeons polish and allege	4
97	1	49	unexpected	alleviate	vp_coord	The surgeons polish and alleviates	4
98	1	49	expected	alleviate	vp_coord	The surgeons polish and alleviate	4
99	1	50	unexpected	allocate	vp_coord	The surgeons polish and allocates	4
100	1	50	expected	allocate	vp_coord	The surgeons polish and allocate	4
101	1	51	unexpected	allowed	vp_coord	The surgeons polish and alloweds	4
102	1	51	expected	allowed	vp_coord	The surgeons polish and allowed	4
103	1	52	unexpected	allow	vp_coord	The surgeons polish and allows	4
104	1	52	expected	allow	vp_coord	The surgeons polish and allow	4
105	1	53	unexpected	ally	vp_coord	The surgeons polish and allies	4
106	1	53	expected	ally	vp_coord	The surgeons polish and ally	4
107	1	54	unexpected	alter	vp_coord	The surgeons polish and alters	4
108	1	54	expected	alter	vp_coord	The surgeons polish and alter	4
109	1	55	unexpected	amalgamate	vp_coord	The surgeons polish and amalgamates	4
110	1	55	expected	amalgamate	vp_coord	The surgeons polish and amalgamate	4
111	1	56	unexpected	amass	vp_coord	The surgeons polish and amasses	4
112	1	56	expected	amass	vp_coord	The surgeons polish and amass	4
113	1	57	unexpected	amaze	vp_coord	The surgeons polish and amazes	4
114	1	57	expected	amaze	vp_coord	The surgeons polish and amaze	4
115	1	58	unexpected	amble	vp_coord	The surgeons polish and ambles	4
116	1	58	expected	amble	vp_coord	The surgeons polish and amble	4
117	1	59	unexpected	amend	vp_coord	The surgeons polish and amends	4
118	1	59	expected	amend	vp_coord	The surgeons polish and amend	4
119	1	60	unexpected	amortize	vp_coord	The surgeons polish and amortizes	4
120	1	60	expected	amortize	vp_coord	The surgeons polish and amortize	4
121	1	61	unexpected	amount	vp_coord	The surgeons polish and amounts	4
122	1	61	expected	amount	vp_coord	The surgeons polish and amount	4
123	1	62	unexpected	amplify	vp_coord	The surgeons polish and amplifies	4
124	1	62	expected	amplify	vp_coord	The surgeons polish and amplify	4
125	1	63	unexpected	analyze	vp_coord	The surgeons polish and analyzes	4
126	1	63	expected	analyze	vp_coord	The surgeons polish and analyze	4
127	1	64	unexpected	anchor	vp_coord	The surgeons polish and anchors	4
128	1	64	expected	anchor	vp_coord	The surgeons polish and anchor	4
129	1	65	unexpected	announce	vp_coord	The surgeons polish and announces	4
130	1	65	expected	announce	vp_coord	The surgeons polish and announce	4
131	1	66	unexpected	answer	vp_coord	The surgeons polish and answers	4
132	1	66	expected	answer	vp_coord	The surgeons polish and answer	4
133	1	67	unexpected	antagonize	vp_coord	The surgeons polish and antagonizes	4
134	1	67	expected	antagonize	vp_coord	The surgeons polish and antagonize	4
135	1	68	unexpected	anticipate	vp_coord	The surgeons polish and anticipates	4
136	1	68	expected	anticipate	vp_coord	The surgeons polish and anticipate	4
137	1	69	unexpected	apologize	vp_coord	The surgeons polish and apologizes	4
138	1	69	expected	apologize	vp_coord	The surgeons polish and apologize	4
139	1	70	unexpected	appeal	vp_coord	The surgeons polish and appeals	4
140	1	70	expected	appeal	vp_coord	The surgeons polish and appeal	4
141	1	71	unexpected	appear	vp_coord	The surgeons polish and appears	4
142	1	71	expected	appear	vp_coord	The surgeons polish and appear	4
143	1	72	unexpected	appease	vp_coord	The surgeons polish and appeases	4
144	1	72	expected	appease	vp_coord	The surgeons polish and appease	4
145	1	73	unexpected	append	vp_coord	The surgeons polish and appends	4
146	1	73	expected	append	vp_coord	The surgeons polish and append	4
147	1	74	unexpected	applaud	vp_coord	The surgeons polish and applauds	4
148	1	74	expected	applaud	vp_coord	The surgeons polish and applaud	4
149	1	75	unexpected	apply	vp_coord	The surgeons polish and applies	4
150	1	75	expected	apply	vp_coord	The surgeons polish and apply	4
151	1	76	unexpected	appoint	vp_coord	The surgeons polish and appoints	4
152	1	76	expected	appoint	vp_coord	The surgeons polish and appoint	4
153	1	77	unexpected	appraise	vp_coord	The surgeons polish and appraises	4
154	1	77	expected	appraise	vp_coord	The surgeons polish and appraise	4
155	1	78	unexpected	appreciate	vp_coord	The surgeons polish and appreciates	4
156	1	78	expected	appreciate	vp_coord	The surgeons polish and appreciate	4
157	1	79	unexpected	approach	vp_coord	The surgeons polish and approaches	4
158	1	79	expected	approach	vp_coord	The surgeons polish and approach	4
159	1	80	unexpected	approve	vp_coord	The surgeons polish and approves	4
160	1	80	expected	approve	vp_coord	The surgeons polish and approve	4
161	1	81	unexpected	argue	vp_coord	The surgeons polish and argues	4
162	1	81	expected	argue	vp_coord	The surgeons polish and argue	4
163	1	82	unexpected	arise	vp_coord	The surgeons polish and arises	4
164	1	82	expected	arise	vp_coord	The surgeons polish and arise	4
165	1	83	unexpected	arm	vp_coord	The surgeons polish and arms	4
166	1	83	expected	arm	vp_coord	The surgeons polish and arm	4
167	1	84	unexpected	arouse	vp_coord	The surgeons polish and arouses	4
168	1	84	expected	arouse	vp_coord	The surgeons polish and arouse	4
169	1	85	unexpected	arrange	vp_coord	The surgeons polish and arranges	4
170	1	85	expected	arrange	vp_coord	The surgeons polish and arrange	4
171	1	86	unexpected	arrest	vp_coord	The surgeons polish and arrests	4
172	1	86	expected	arrest	vp_coord	The surgeons polish and arrest	4
173	1	87	unexpected	arrive	vp_coord	The surgeons polish and arrives	4
174	1	87	expected	arrive	vp_coord	The surgeons polish and arrive	4
175	1	88	unexpected	articulate	vp_coord	The surgeons polish and articulates	4
176	1	88	expected	articulate	vp_coord	The surgeons polish and articulate	4
177	1	89	unexpected	ask	vp_coord	The surgeons polish and asks	4
178	1	89	expected	ask	vp_coord	The surgeons polish and ask	4
179	1	90	unexpected	assassinate	vp_coord	The surgeons polish and assassinates	4
180	1	90	expected	assassinate	vp_coord	The surgeons polish and assassinate	4
181	1	91	unexpected	assemble	vp_coord	The surgeons polish and assembles	4
182	1	91	expected	assemble	vp_coord	The surgeons polish and assemble	4
183	1	92	unexpected	assert	vp_coord	The surgeons polish and asserts	4
184	1	92	expected	assert	vp_coord	The surgeons polish and assert	4
185	1	93	unexpected	assess	vp_coord	The surgeons polish and assesses	4
186	1	93	expected	assess	vp_coord	The surgeons polish and assess	4
187	1	94	unexpected	assign	vp_coord	The surgeons polish and assigns	4
188	1	94	expected	assign	vp_coord	The surgeons polish and assign	4
189	1	95	unexpected	assimilate	vp_coord	The surgeons polish and assimilates	4
190	1	95	expected	assimilate	vp_coord	The surgeons polish and assimilate	4
191	1	96	unexpected	assist	vp_coord	The surgeons polish and assists	4
192	1	96	expected	assist	vp_coord	The surgeons polish and assist	4
193	1	97	unexpected	assuage	vp_coord	The surgeons polish and assuages	4
194	1	97	expected	assuage	vp_coord	The surgeons polish and assuage	4
195	1	98	unexpected	assume	vp_coord	The surgeons polish and assumes	4
196	1	98	expected	assume	vp_coord	The surgeons polish and assume	4
197	2	99	unexpected	assure	vp_coord	The farmer implements and assure	4
198	2	99	expected	assure	vp_coord	The farmer implements and assures	4
199	2	100	unexpected	atone	vp_coord	The farmer implements and atone	4
200	2	100	expected	atone	vp_coord	The farmer implements and atones	4
201	2	101	unexpected	attach	vp_coord	The farmer implements and attach	4
202	2	101	expected	attach	vp_coord	The farmer implements and attaches	4
203	2	102	unexpected	attack	vp_coord	The farmer implements and attack	4
204	2	102	expected	attack	vp_coord	The farmer implements and attacks	4
205	2	103	unexpected	attain	vp_coord	The farmer implements and attain	4
206	2	103	expected	attain	vp_coord	The farmer implements and attains	4
207	2	104	unexpected	attempt	vp_coord	The farmer implements and attempt	4
208	2	104	expected	attempt	vp_coord	The farmer implements and attempts	4
209	2	105	unexpected	attend	vp_coord	The farmer implements and attend	4
210	2	105	expected	attend	vp_coord	The farmer implements and attends	4
211	2	106	unexpected	attention	vp_coord	The farmer implements and attention	4
212	2	106	expected	attention	vp_coord	The farmer implements and attentions	4
213	2	107	unexpected	attest	vp_coord	The farmer implements and attest	4
214	2	107	expected	attest	vp_coord	The farmer implements and attests	4
215	2	108	unexpected	attract	vp_coord	The farmer implements and attract	4
216	2	108	expected	attract	vp_coord	The farmer implements and attracts	4
217	2	109	unexpected	attribute	vp_coord	The farmer implements and attribute	4
218	2	109	expected	attribute	vp_coord	The farmer implements and attributes	4
219	2	110	unexpected	auction	vp_coord	The farmer implements and auction	4
220	2	110	expected	auction	vp_coord	The farmer implements and auctions	4
221	2	111	unexpected	audition	vp_coord	The farmer implements and audition	4
222	2	111	expected	audition	vp_coord	The farmer implements and auditions	4
223	2	112	unexpected	audit	vp_coord	The farmer implements and audit	4
224	2	112	expected	audit	vp_coord	The farmer implements and audits	4
225	2	113	unexpected	augment	vp_coord	The farmer implements and augment	4
226	2	113	expected	augment	vp_coord	The farmer implements and augments	4
227	2	114	unexpected	authorize	vp_coord	The farmer implements and authorize	4
228	2	114	expected	authorize	vp_coord	The farmer implements and authorizes	4
229	2	115	unexpected	autograph	vp_coord	The farmer implements and autograph	4
230	2	115	expected	autograph	vp_coord	The farmer implements and autographs	4
231	2	116	unexpected	average	vp_coord	The farmer implements and average	4
232	2	116	expected	average	vp_coord	The farmer implements and averages	4
233	2	117	unexpected	avert	vp_coord	The farmer implements and avert	4
234	2	117	expected	avert	vp_coord	The farmer implements and averts	4
235	2	118	unexpected	avoid	vp_coord	The farmer implements and avoid	4
236	2	118	expected	avoid	vp_coord	The farmer implements and avoids	4
237	2	119	unexpected	await	vp_coord	The farmer implements and await	4
238	2	119	expected	await	vp_coord	The farmer implements and awaits	4
239	2	120	unexpected	backfire	vp_coord	The farmer implements and backfire	4
240	2	120	expected	backfire	vp_coord	The farmer implements and backfires	4
241	2	121	unexpected	back	vp_coord	The farmer implements and back	4
242	2	121	expected	back	vp_coord	The farmer implements and backs	4
243	2	122	unexpected	bail	vp_coord	The farmer implements and bail	4
244	2	122	expected	bail	vp_coord	The farmer implements and bails	4
245	2	123	unexpected	balance	vp_coord	The farmer implements and balance	4
246	2	123	expected	balance	vp_coord	The farmer implements and balances	4
247	2	124	unexpected	balk	vp_coord	The farmer implements and balk	4
248	2	124	expected	balk	vp_coord	The farmer implements and balks	4
249	2	125	unexpected	balloon	vp_coord	The farmer implements and balloon	4
250	2	125	expected	balloon	vp_coord	The farmer implements and balloons	4
251	2	126	unexpected	band	vp_coord	The farmer implements and band	4
252	2	126	expected	band	vp_coord	The farmer implements and bands	4
253	2	127	unexpected	banish	vp_coord	The farmer implements and banish	4
254	2	127	expected	banish	vp_coord	The farmer implements and banishes	4
255	2	128	unexpected	bankroll	vp_coord	The farmer implements and bankroll	4
256	2	128	expected	bankroll	vp_coord	The farmer implements and bankrolls	4
257	2	129	unexpected	bankrupt	vp_coord	The farmer implements and bankrupt	4
258	2	129	expected	bankrupt	vp_coord	The farmer implements and bankrupts	4
259	2	130	unexpected	bank	vp_coord	The farmer implements and bank	4
260	2	130	expected	bank	vp_coord	The farmer implements and banks	4
261	2	131	unexpected	ban	vp_coord	The farmer implements and ban	4
262	2	131	expected	ban	vp_coord	The farmer implements and bans	4
263	2	132	unexpected	bargain	vp_coord	The farmer implements and bargain	4
264	2	132	expected	bargain	vp_coord	The farmer implements and bargains	4
265	2	133	unexpected	bar	vp_coord	The farmer implements and bar	4
266	2	133	expected	bar	vp_coord	The farmer implements and bars	4
267	2	134	unexpected	base	vp_coord	The farmer implements and base	4
268	2	134	expected	base	vp_coord	The farmer implements and bases	4
269	2	135	unexpected	bash	vp_coord	The farmer implements and bash	4
270	2	135	expected	bash	vp_coord	The farmer implements and bashes	4
271	2	136	unexpected	batter	vp_coord	The farmer implements and batter	4
272	2	136	expected	batter	vp_coord	The farmer implements and batters	4
273	2	137	unexpected	battle	vp_coord	The farmer implements and battle	4
274	2	137	expected	battle	vp_coord	The farmer implements and battles	4
275	2	138	unexpected	bear	vp_coord	The farmer implements and bear	4
276	2	138	expected	bear	vp_coord	The farmer implements and bears	4
277	2	139	unexpected	beat	vp_coord	The farmer implements and beat	4
278	2	139	expected	beat	vp_coord	The farmer implements and beats	4
279	2	140	unexpected	become	vp_coord	The farmer implements and become	4
280	2	140	expected	become	vp_coord	The farmer implements and becomes	4
281	2	141	unexpected	bedevil	vp_coord	The farmer implements and bedevil	4
282	2	141	expected	bedevil	vp_coord	The farmer implements and bedevils	4
283	2	142	unexpected	beef	vp_coord	The farmer implements and beef	4
284	2	142	expected	beef	vp_coord	The farmer implements and beefs	4
285	2	143	unexpected	begin	vp_coord	The farmer implements and begin	4
286	2	143	expected	begin	vp_coord	The farmer implements and begins	4
287	2	144	unexpected	behave	vp_coord	The farmer implements and behave	4
288	2	144	expected	behave	vp_coord	The farmer implements and behaves	4
289	2	145	unexpected	belie	vp_coord	The farmer implements and belie	4
290	2	145	expected	belie	vp_coord	The farmer implements and belies	4
291	2	146	unexpected	believe	vp_coord	The farmer implements and believe	4
292	2	146	expected	believe	vp_coord	The farmer implements and believes	4
293	2	147	unexpected	bellow	vp_coord	The farmer implements and bellow	4
294	2	147	expected	bellow	vp_coord	The farmer implements and bellows	4
295	2	148	unexpected	belong	vp_coord	The farmer implements and belong	4
296	2	148	expected	belong	vp_coord	The farmer implements and belongs	4
297	2	149	unexpected	bend	vp_coord	The farmer implements and bend	4
298	2	149	expected	bend	vp_coord	The farmer implements and bends	4
299	2	150	unexpected	benefit	vp_coord	The farmer implements and benefit	4
300	2	150	expected	benefit	vp_coord	The farmer implements and benefits	4
301	2	151	unexpected	bet	vp_coord	The farmer implements and bet	4
302	2	151	expected	bet	vp_coord	The farmer implements and bets	4
303	2	152	unexpected	are	vp_coord	The farmer implements and are	4
304	2	152	expected	are	vp_coord	The farmer implements and is	4
305	2	153	unexpected	bid	vp_coord	The farmer implements and bid	4
306	2	153	expected	bid	vp_coord	The farmer implements and bids	4
307	2	154	unexpected	bill	vp_coord	The farmer implements and bill	4
308	2	154	expected	bill	vp_coord	The farmer implements and bills	4
309	2	155	unexpected	bite	vp_coord	The farmer implements and bite	4
310	2	155	expected	bite	vp_coord	The farmer implements and bites	4
311	2	156	unexpected	blackmail	vp_coord	The farmer implements and blackmail	4
312	2	156	expected	blackmail	vp_coord	The farmer implements and blackmails	4
313	2	157	unexpected	blame	vp_coord	The farmer implements and blame	4
314	2	157	expected	blame	vp_coord	The farmer implements and blames	4
315	2	158	unexpected	blast	vp_coord	The farmer implements and blast	4
316	2	158	expected	blast	vp_coord	The farmer implements and blasts	4
317	2	159	unexpected	bleed	vp_coord	The farmer implements and bleed	4
318	2	159	expected	bleed	vp_coord	The farmer implements and bleeds	4
319	2	160	unexpected	blend	vp_coord	The farmer implements and blend	4
320	2	160	expected	blend	vp_coord	The farmer implements and blends	4
321	2	161	unexpected	bless	vp_coord	The farmer implements and bless	4
322	2	161	expected	bless	vp_coord	The farmer implements and blesses	4
323	2	162	unexpected	blink	vp_coord	The farmer implements and blink	4
324	2	162	expected	blink	vp_coord	The farmer implements and blinks	4
325	2	163	unexpected	block	vp_coord	The farmer implements and block	4
326	2	163	expected	block	vp_coord	The farmer implements and blocks	4
327	2	164	unexpected	blow	vp_coord	The farmer implements and blow	4
328	2	164	expected	blow	vp_coord	The farmer implements and blows	4
329	2	165	unexpected	blunder	vp_coord	The farmer implements and blunder	4
330	2	165	expected	blunder	vp_coord	The farmer implements and blunders	4
331	2	166	unexpected	blunt	vp_coord	The farmer implements and blunt	4
332	2	166	expected	blunt	vp_coord	The farmer implements and blunts	4
333	2	167	unexpected	blur	vp_coord	The farmer implements and blur	4
334	2	167	expected	blur	vp_coord	The farmer implements and blurs	4
335	2	168	unexpected	board	vp_coord	The farmer implements and board	4
336	2	168	expected	board	vp_coord	The farmer implements and boards	4
337	2	169	unexpected	boast	vp_coord	The farmer implements and boast	4
338	2	169	expected	boast	vp_coord	The farmer implements and boasts	4
339	2	170	unexpected	bode	vp_coord	The farmer implements and bode	4
340	2	170	expected	bode	vp_coord	The farmer implements and bodes	4
341	2	171	unexpected	bog	vp_coord	The farmer implements and bog	4
342	2	171	expected	bog	vp_coord	The farmer implements and bogs	4
343	2	172	unexpected	bolster	vp_coord	The farmer implements and bolster	4
344	2	172	expected	bolster	vp_coord	The farmer implements and bolsters	4
345	2	173	unexpected	bomb	vp_coord	The farmer implements and bomb	4
346	2	173	expected	bomb	vp_coord	The farmer implements and bombs	4
347	2	174	unexpected	boom	vp_coord	The farmer implements and boom	4
348	2	174	expected	boom	vp_coord	The farmer implements and booms	4
349	2	175	unexpected	boost	vp_coord	The farmer implements and boost	4
350	2	175	expected	boost	vp_coord	The farmer implements and boosts	4
351	2	176	unexpected	borrow	vp_coord	The farmer implements and borrow	4
352	2	176	expected	borrow	vp_coord	The farmer implements and borrows	4
353	2	177	unexpected	bother	vp_coord	The farmer implements and bother	4
354	2	177	expected	bother	vp_coord	The farmer implements and bothers	4
355	2	178	unexpected	bottle	vp_coord	The farmer implements and bottle	4
356	2	178	expected	bottle	vp_coord	The farmer implements and bottles	4
357	2	179	unexpected	bounce	vp_coord	The farmer implements and bounce	4
358	2	179	expected	bounce	vp_coord	The farmer implements and bounces	4
359	2	180	unexpected	bow	vp_coord	The farmer implements and bow	4
360	2	180	expected	bow	vp_coord	The farmer implements and bows	4
361	2	181	unexpected	brace	vp_coord	The farmer implements and brace	4
362	2	181	expected	brace	vp_coord	The farmer implements and braces	4
363	2	182	unexpected	brag	vp_coord	The farmer implements and brag	4
364	2	182	expected	brag	vp_coord	The farmer implements and brags	4
365	2	183	unexpected	branch	vp_coord	The farmer implements and branch	4
366	2	183	expected	branch	vp_coord	The farmer implements and branches	4
367	2	184	unexpected	brave	vp_coord	The farmer implements and brave	4
368	2	184	expected	brave	vp_coord	The farmer implements and braves	4
369	2	185	unexpected	brazen	vp_coord	The farmer implements and brazen	4
370	2	185	expected	brazen	vp_coord	The farmer implements and brazens	4
371	2	186	unexpected	breach	vp_coord	The farmer implements and breach	4
372	2	186	expected	breach	vp_coord	The farmer implements and breaches	4
373	2	187	unexpected	break	vp_coord	The farmer implements and break	4
374	2	187	expected	break	vp_coord	The farmer implements and breaks	4
375	2	188	unexpected	breed	vp_coord	The farmer implements and breed	4
376	2	188	expected	breed	vp_coord	The farmer implements and breeds	4
377	2	189	unexpected	brew	vp_coord	The farmer implements and brew	4
378	2	189	expected	brew	vp_coord	The farmer implements and brews	4
379	2	190	unexpected	bribe	vp_coord	The farmer implements and bribe	4
380	2	190	expected	bribe	vp_coord	The farmer implements and bribes	4
381	2	191	unexpected	bridge	vp_coord	The farmer implements and bridge	4
382	2	191	expected	bridge	vp_coord	The farmer implements and bridges	4
383	2	192	unexpected	brief	vp_coord	The farmer implements and brief	4
384	2	192	expected	brief	vp_coord	The farmer implements and briefs	4
385	2	193	unexpected	bring	vp_coord	The farmer implements and bring	4
386	2	193	expected	bring	vp_coord	The farmer implements and brings	4
387	2	194	unexpected	broadcast	vp_coord	The farmer implements and broadcast	4
388	2	194	expected	broadcast	vp_coord	The farmer implements and broadcasts	4
389	2	195	unexpected	broaden	vp_coord	The farmer implements and broaden	4
390	2	195	expected	broaden	vp_coord	The farmer implements and broadens	4
391	2	196	unexpected	browbeat	vp_coord	The farmer implements and browbeat	4
392	2	196	expected	browbeat	vp_coord	The farmer implements and browbeats	4
393	3	197	unexpected	brush	vp_coord	The farmers socialize and brushes	4
394	3	197	expected	brush	vp_coord	The farmers socialize and brush	4
395	3	198	unexpected	buckle	vp_coord	The farmers socialize and buckles	4
396	3	198	expected	buckle	vp_coord	The farmers socialize and buckle	4
397	3	199	unexpected	buck	vp_coord	The farmers socialize and bucks	4
398	3	199	expected	buck	vp_coord	The farmers socialize and buck	4
399	3	200	unexpected	budge	vp_coord	The farmers socialize and budges	4
400	3	200	expected	budge	vp_coord	The farmers socialize and budge	4
401	3	201	unexpected	buffer	vp_coord	The farmers socialize and buffers	4
402	3	201	expected	buffer	vp_coord	The farmers socialize and buffer	4
403	3	202	unexpected	buffet	vp_coord	The farmers socialize and buffets	4
404	3	202	expected	buffet	vp_coord	The farmers socialize and buffet	4
405	3	203	unexpected	build	vp_coord	The farmers socialize and builds	4
406	3	203	expected	build	vp_coord	The farmers socialize and build	4
407	3	204	unexpected	bumble	vp_coord	The farmers socialize and bumbles	4
408	3	204	expected	bumble	vp_coord	The farmers socialize and bumble	4
409	3	205	unexpected	bump	vp_coord	The farmers socialize and bumps	4
410	3	205	expected	bump	vp_coord	The farmers socialize and bump	4
411	3	206	unexpected	buoy	vp_coord	The farmers socialize and buoys	4
412	3	206	expected	buoy	vp_coord	The farmers socialize and buoy	4
413	3	207	unexpected	burn	vp_coord	The farmers socialize and burns	4
414	3	207	expected	burn	vp_coord	The farmers socialize and burn	4
415	3	208	unexpected	bury	vp_coord	The farmers socialize and buries	4
416	3	208	expected	bury	vp_coord	The farmers socialize and bury	4
417	3	209	unexpected	buttress	vp_coord	The farmers socialize and buttresses	4
418	3	209	expected	buttress	vp_coord	The farmers socialize and buttress	4
419	3	210	unexpected	butt	vp_coord	The farmers socialize and butts	4
420	3	210	expected	butt	vp_coord	The farmers socialize and butt	4
421	3	211	unexpected	buy-back	vp_coord	The farmers socialize and buy-backs	4
422	3	211	expected	buy-back	vp_coord	The farmers socialize and buy-back	4
423	3	212	unexpected	buy	vp_coord	The farmers socialize and buys	4
424	3	212	expected	buy	vp_coord	The farmers socialize and buy	4
425	3	213	unexpected	buzz	vp_coord	The farmers socialize and buzzes	4
426	3	213	expected	buzz	vp_coord	The farmers socialize and buzz	4
427	3	214	unexpected	bypass	vp_coord	The farmers socialize and bypasses	4
